[*] Startup: Audio output = usb
[*] Mixer (USB mode): Found 'PCM' on card 1
[*] Startup: MIXER_CMD = -c 1 sset PCM
[*] Metadata Scanner: Waiting 30 seconds for system to settle...
 * Serving Flask app 'main'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.8.192:5000
[33mPress CTRL+C to quit[0m
192.168.8.222 - - [11/Aug/2026 09:10:48] "GET / HTTP/1.1" 200 -
192.168.8.222 - - [11/Aug/2026 09:10:48] "GET /api/volume HTTP/1.1" 200 -
192.168.8.222 - - [11/Aug/2026 09:10:48] "GET /api/system/audio_output HTTP/1.1" 200 -
192.168.8.222 - - [11/Aug/2026 09:10:48] "GET /api/volume HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 09:10:49] "GET /api/ping HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 09:10:50] "GET /csi?cachebust=1786410649 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 09:10:51] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "GET /api/songs?type=music HTTP/1.1" 200 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=1432%20-%20Katy%20Perry/01%20-%20Katy%20Perry%20-%20WOMAN’S%20WORLD.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Amada%20Mas%20Que%20Nunca%20-%20Daniela%20Romo/01%20-%20Daniela%20Romo%20-%20Amada%20Más%20Que%20Nunca.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=3.0%20-%20Marc%20Anthony/01%20-%20Marc%20Anthony%20-%20Vivir%20Mi%20Vida.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=21%20-%20Adele/01%20-%20Adele%20-%20Rolling%20in%20the%20Deep.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Beethoven%20-%209%20Symphonies%20-%20Berliner%20Philharmoniker/Disc%201/01%20-%20Berliner%20Philharmoniker%20-%20Beethoven_%20Symphony%20No.%201%20in%20C%20Major,%20Op.%2021_%20I.%20Adagio%20molto%20–%20Allegro%20con%20brio.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=25%20-%20Adele/01%20-%20Adele%20-%20Hello.flac HTTP/1.1[0m" 304 -
192.168.8.222 - - [11/Aug/2026 09:10:51] "[36mGET /api/cover?path=Beethoven_%20Violin%20Concerto;%20Romances%20-%20Anne-Sophie%20Mutter/01%20-%20Anne-Sophie%20Mutter%20-%20Beethoven_%20Violin%20Concerto%20In%20D,%20Op.%2061_%20I.%20Allegro%20ma%20non%20troppo%20-%20Cadenza_%20Fritz%20Kreisler%20(Live).flac HTTP/1.1[0m" 304 -
